CUADRADO
Lado= 10.0 PuntoInfIzq= (x=9.0, y=5.0) , PuntoSupDer=null Area: 100.0
Lado= 10.0 PuntoInfIzq= (x=5.0, y=5.0) , PuntoSupDer=null Area: 100.0
Lado= 10.0 PuntoInfIzq= (x=8.0, y=2.0) , PuntoSupDer=null Area: 100.0
Lado= 10.0 PuntoInfIzq= (x=6.0, y=8.0) , PuntoSupDer=null Area: 100.0
Lado= 10.0 PuntoInfIzq= (x=5.0, y=5.0) , PuntoSupDer=null Area: 100.0
Lado= 9.0 PuntoInfIzq= (x=4.0, y=5.0) , PuntoSupDer=null Area: 81.0
Lado= 9.0 PuntoInfIzq= (x=3.0, y=2.0) , PuntoSupDer=null Area: 81.0
Lado= 9.0 PuntoInfIzq= (x=6.0, y=4.0) , PuntoSupDer=null Area: 81.0
Lado= 9.0 PuntoInfIzq= (x=9.0, y=10.0) , PuntoSupDer=null Area: 81.0
Lado= 9.0 PuntoInfIzq= (x=4.0, y=4.0) , PuntoSupDer=null Area: 81.0
Lado= 8.0 PuntoInfIzq= (x=6.0, y=2.0) , PuntoSupDer=null Area: 64.0
Lado= 8.0 PuntoInfIzq= (x=4.0, y=9.0) , PuntoSupDer=null Area: 64.0
Lado= 8.0 PuntoInfIzq= (x=6.0, y=6.0) , PuntoSupDer=null Area: 64.0
Lado= 8.0 PuntoInfIzq= (x=3.0, y=5.0) , PuntoSupDer=null Area: 64.0
Lado= 8.0 PuntoInfIzq= (x=6.0, y=2.0) , PuntoSupDer=null Area: 64.0
Lado= 8.0 PuntoInfIzq= (x=8.0, y=4.0) , PuntoSupDer=null Area: 64.0
Lado= 8.0 PuntoInfIzq= (x=9.0, y=9.0) , PuntoSupDer=null Area: 64.0
Lado= 8.0 PuntoInfIzq= (x=3.0, y=5.0) , PuntoSupDer=null Area: 64.0
Lado= 8.0 PuntoInfIzq= (x=10.0, y=6.0) , PuntoSupDer=null Area: 64.0
Lado= 7.0 PuntoInfIzq= (x=6.0, y=2.0) , PuntoSupDer=null Area: 49.0
Lado= 7.0 PuntoInfIzq= (x=7.0, y=9.0) , PuntoSupDer=null Area: 49.0
Lado= 7.0 PuntoInfIzq= (x=3.0, y=7.0) , PuntoSupDer=null Area: 49.0
Lado= 7.0 PuntoInfIzq= (x=7.0, y=2.0) , PuntoSupDer=null Area: 49.0
Lado= 7.0 PuntoInfIzq= (x=10.0, y=10.0) , PuntoSupDer=null Area: 49.0
Lado= 6.0 PuntoInfIzq= (x=7.0, y=6.0) , PuntoSupDer=null Area: 36.0
Lado= 6.0 PuntoInfIzq= (x=5.0, y=7.0) , PuntoSupDer=null Area: 36.0
Lado= 6.0 PuntoInfIzq= (x=8.0, y=8.0) , PuntoSupDer=null Area: 36.0
Lado= 6.0 PuntoInfIzq= (x=9.0, y=6.0) , PuntoSupDer=null Area: 36.0
Lado= 6.0 PuntoInfIzq= (x=9.0, y=3.0) , PuntoSupDer=null Area: 36.0
Lado= 6.0 PuntoInfIzq= (x=10.0, y=4.0) , PuntoSupDer=null Area: 36.0
Lado= 6.0 PuntoInfIzq= (x=5.0, y=6.0) , PuntoSupDer=null Area: 36.0
Lado= 6.0 PuntoInfIzq= (x=3.0, y=4.0) , PuntoSupDer=null Area: 36.0
Lado= 5.0 PuntoInfIzq= (x=4.0, y=9.0) , PuntoSupDer=null Area: 25.0
Lado= 5.0 PuntoInfIzq= (x=7.0, y=8.0) , PuntoSupDer=null Area: 25.0
Lado= 5.0 PuntoInfIzq= (x=3.0, y=9.0) , PuntoSupDer=null Area: 25.0
Lado= 5.0 PuntoInfIzq= (x=9.0, y=2.0) , PuntoSupDer=null Area: 25.0
Lado= 5.0 PuntoInfIzq= (x=4.0, y=9.0) , PuntoSupDer=null Area: 25.0
Lado= 5.0 PuntoInfIzq= (x=10.0, y=4.0) , PuntoSupDer=null Area: 25.0
Lado= 5.0 PuntoInfIzq= (x=3.0, y=6.0) , PuntoSupDer=null Area: 25.0
Lado= 4.0 PuntoInfIzq= (x=8.0, y=10.0) , PuntoSupDer=null Area: 16.0
Lado= 4.0 PuntoInfIzq= (x=7.0, y=8.0) , PuntoSupDer=null Area: 16.0
Lado= 4.0 PuntoInfIzq= (x=5.0, y=2.0) , PuntoSupDer=null Area: 16.0
Lado= 4.0 PuntoInfIzq= (x=6.0, y=9.0) , PuntoSupDer=null Area: 16.0
Lado= 4.0 PuntoInfIzq= (x=4.0, y=4.0) , PuntoSupDer=null Area: 16.0
Lado= 4.0 PuntoInfIzq= (x=2.0, y=10.0) , PuntoSupDer=null Area: 16.0
Lado= 4.0 PuntoInfIzq= (x=2.0, y=6.0) , PuntoSupDer=null Area: 16.0
Lado= 4.0 PuntoInfIzq= (x=2.0, y=10.0) , PuntoSupDer=null Area: 16.0
Lado= 3.0 PuntoInfIzq= (x=10.0, y=5.0) , PuntoSupDer=null Area: 9.0
Lado= 3.0 PuntoInfIzq= (x=7.0, y=10.0) , PuntoSupDer=null Area: 9.0
Lado= 3.0 PuntoInfIzq= (x=2.0, y=7.0) , PuntoSupDer=null Area: 9.0
Lado= 3.0 PuntoInfIzq= (x=10.0, y=8.0) , PuntoSupDer=null Area: 9.0
Lado= 2.0 PuntoInfIzq= (x=9.0, y=10.0) , PuntoSupDer=null Area: 4.0
Lado= 2.0 PuntoInfIzq= (x=2.0, y=2.0) , PuntoSupDer=null Area: 4.0
Lado= 2.0 PuntoInfIzq= (x=6.0, y=7.0) , PuntoSupDer=null Area: 4.0
CIRCULO
Centro=  (x=7.0, y=9.0) , RadioMayor= 10.0, RadioMenor= 10.0 Area: 314.1592653589793
Centro=  (x=8.0, y=2.0) , RadioMayor= 10.0, RadioMenor= 10.0 Area: 314.1592653589793
Centro=  (x=3.0, y=9.0) , RadioMayor= 10.0, RadioMenor= 10.0 Area: 314.1592653589793
Centro=  (x=6.0, y=7.0) , RadioMayor= 10.0, RadioMenor= 10.0 Area: 314.1592653589793
Centro=  (x=2.0, y=7.0) , RadioMayor= 10.0, RadioMenor= 10.0 Area: 314.1592653589793
Centro=  (x=3.0, y=6.0) , RadioMayor= 10.0, RadioMenor= 10.0 Area: 314.1592653589793
Centro=  (x=8.0, y=5.0) , RadioMayor= 9.0, RadioMenor= 9.0 Area: 254.46900494077323
Centro=  (x=9.0, y=6.0) , RadioMayor= 9.0, RadioMenor= 9.0 Area: 254.46900494077323
Centro=  (x=6.0, y=4.0) , RadioMayor= 9.0, RadioMenor= 9.0 Area: 254.46900494077323
Centro=  (x=4.0, y=5.0) , RadioMayor= 9.0, RadioMenor= 9.0 Area: 254.46900494077323
Centro=  (x=6.0, y=3.0) , RadioMayor= 8.0, RadioMenor= 8.0 Area: 201.06192982974676
Centro=  (x=2.0, y=5.0) , RadioMayor= 8.0, RadioMenor= 8.0 Area: 201.06192982974676
Centro=  (x=5.0, y=6.0) , RadioMayor= 8.0, RadioMenor= 8.0 Area: 201.06192982974676
Centro=  (x=3.0, y=9.0) , RadioMayor= 8.0, RadioMenor= 8.0 Area: 201.06192982974676
Centro=  (x=3.0, y=8.0) , RadioMayor= 8.0, RadioMenor= 8.0 Area: 201.06192982974676
Centro=  (x=6.0, y=0.0) , RadioMayor= 8.0, RadioMenor= 8.0 Area: 201.06192982974676
Centro=  (x=5.0, y=3.0) , RadioMayor= 7.0, RadioMenor= 7.0 Area: 153.93804002589985
Centro=  (x=2.0, y=10.0) , RadioMayor= 7.0, RadioMenor= 7.0 Area: 153.93804002589985
Centro=  (x=3.0, y=4.0) , RadioMayor= 7.0, RadioMenor= 7.0 Area: 153.93804002589985
Centro=  (x=4.0, y=6.0) , RadioMayor= 7.0, RadioMenor= 7.0 Area: 153.93804002589985
Centro=  (x=2.0, y=7.0) , RadioMayor= 7.0, RadioMenor= 7.0 Area: 153.93804002589985
Centro=  (x=7.0, y=9.0) , RadioMayor= 7.0, RadioMenor= 7.0 Area: 153.93804002589985
Centro=  (x=8.0, y=7.0) , RadioMayor= 6.0, RadioMenor= 6.0 Area: 113.09733552923255
Centro=  (x=2.0, y=10.0) , RadioMayor= 6.0, RadioMenor= 6.0 Area: 113.09733552923255
Centro=  (x=2.0, y=8.0) , RadioMayor= 6.0, RadioMenor= 6.0 Area: 113.09733552923255
Centro=  (x=4.0, y=9.0) , RadioMayor= 6.0, RadioMenor= 6.0 Area: 113.09733552923255
Centro=  (x=9.0, y=10.0) , RadioMayor= 6.0, RadioMenor= 6.0 Area: 113.09733552923255
Centro=  (x=2.0, y=6.0) , RadioMayor= 6.0, RadioMenor= 6.0 Area: 113.09733552923255
Centro=  (x=4.0, y=6.0) , RadioMayor= 6.0, RadioMenor= 6.0 Area: 113.09733552923255
Centro=  (x=5.0, y=9.0) , RadioMayor= 5.0, RadioMenor= 5.0 Area: 78.53981633974483
Centro=  (x=10.0, y=3.0) , RadioMayor= 5.0, RadioMenor= 5.0 Area: 78.53981633974483
Centro=  (x=3.0, y=2.0) , RadioMayor= 5.0, RadioMenor= 5.0 Area: 78.53981633974483
Centro=  (x=4.0, y=2.0) , RadioMayor= 5.0, RadioMenor= 5.0 Area: 78.53981633974483
Centro=  (x=10.0, y=5.0) , RadioMayor= 4.0, RadioMenor= 4.0 Area: 50.26548245743669
Centro=  (x=3.0, y=-5.0) , RadioMayor= 4.0, RadioMenor= 4.0 Area: 50.26548245743669
Centro=  (x=4.0, y=2.0) , RadioMayor= 4.0, RadioMenor= 4.0 Area: 50.26548245743669
Centro=  (x=3.0, y=6.0) , RadioMayor= 4.0, RadioMenor= 4.0 Area: 50.26548245743669
Centro=  (x=2.0, y=5.0) , RadioMayor= 4.0, RadioMenor= 4.0 Area: 50.26548245743669
Centro=  (x=10.0, y=9.0) , RadioMayor= 4.0, RadioMenor= 4.0 Area: 50.26548245743669
Centro=  (x=2.0, y=2.0) , RadioMayor= 3.0, RadioMenor= 3.0 Area: 28.274333882308138
Centro=  (x=9.0, y=2.0) , RadioMayor= 3.0, RadioMenor= 3.0 Area: 28.274333882308138
Centro=  (x=10.0, y=4.0) , RadioMayor= 3.0, RadioMenor= 3.0 Area: 28.274333882308138
Centro=  (x=6.0, y=4.0) , RadioMayor= 3.0, RadioMenor= 3.0 Area: 28.274333882308138
Centro=  (x=6.0, y=10.0) , RadioMayor= 3.0, RadioMenor= 3.0 Area: 28.274333882308138
Centro=  (x=7.0, y=9.0) , RadioMayor= 3.0, RadioMenor= 3.0 Area: 28.274333882308138
Centro=  (x=6.0, y=2.0) , RadioMayor= 3.0, RadioMenor= 3.0 Area: 28.274333882308138
Centro=  (x=6.0, y=7.0) , RadioMayor= 2.0, RadioMenor= 2.0 Area: 12.566370614359172
Centro=  (x=8.0, y=6.0) , RadioMayor= 2.0, RadioMenor= 2.0 Area: 12.566370614359172
Centro=  (x=6.0, y=9.0) , RadioMayor= 2.0, RadioMenor= 2.0 Area: 12.566370614359172
Centro=  (x=2.0, y=3.0) , RadioMayor= 2.0, RadioMenor= 2.0 Area: 12.566370614359172
Centro=  (x=6.0, y=7.0) , RadioMayor= 2.0, RadioMenor= 2.0 Area: 12.566370614359172
Centro=  (x=8.0, y=8.0) , RadioMayor= 2.0, RadioMenor= 2.0 Area: 12.566370614359172
